SMILES,CYP2C9 Substrate Class,CYP2D6 Substrate Class,CYP3A4 Substrate Class,CYP2C9 Activity Class,CYP2D6 Activity Class,CYP3A4 Activity Class,CYP2C9 Inhibitor Class,CYP2D6 Inhibitor Class,CYP3A4_ Inhibitor Class
O=C(CCNNC(=O)C1=CC=NC=C1)NCC2=CC=CC=C2,0,0,0,1,0,0,1,0,0
CN1CC(C2=CC=CC=C2)C3=CC=CC(N)=C3C1,0,1,0,0,1,0,0,subs/inhib,0
COC(=O)C1=C(C)NC(C)=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OCCN(C)CC3=CC=CC=C3,0,1,1,1,1,1,1,subs/inhib,subs/inhib
CC1(C)NC(=O)N(C1=O)C2=CC(=C(C=C2)[N+]([O-])=O)C(F)(F)F,0,0,0,1,0,0,1,0,0
CC1=NC(N)=C(CNC(=O)N(CCCl)N=O)C=N1,1,1,1,0,1,1,0,subs/inhib,subs/inhib
CN1CCN(CC1)C2CC3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3,1,1,1,0,1,0,0,subs/inhib,0
CC1=CC(=C(O)C(C)=C1CC2=NCCN2)C(C)(C)C,0,1,0,0,1,0,0,subs/inhib,0
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C2=CC=CC=C2,,1,1,1,1,1,NA,subs/inhib,subs/inhib
CN(C)CCOC(C1=CC=CC=C1)C2=C(C)C=CC=C2,0,1,0,0,1,0,0,subs/inhib,0
CC1COC2=C(N3CCN(C)CC3)C(F)=CC4=C2N1C=C(C(O)=O)C4=O,0,0,0,0,0,0,0,0,0
O=C1NC2=C(C=CC=C2)N1CCCN3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5,1,1,1,0,1,0,0,subs/inhib,0
CC1=C(CCN2CCC(CC2)C(=O)C3=CC=C(F)C=C3)C(=O)N4C=CC=CC4=N1,0,1,0,0,1,0,0,subs/inhib,0
