CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,Molecule Name,Compound Key,appears_in_N_ChEMBL_assays
CC(=O)OC1CC[C@]2(C)C(CC(OC(C)=O)[C@@]3(C)C4=CC(=O)OC(c5ccoc5)[C@]4(C)CCC23)C1(C)C,HNFPPWVGLWDXQQ-RVSBZHOXSA-N,5.266666666666667,0.2732520204255893,,SID26749400,6
CCN(CC)CCC[C@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,GPKJTRJOBQGKQK-INIZCTEOSA-N,5.349999999999999,0.27386127875258304,,SID11111712,6
NC(C(=O)O)c1cc(O)cc(O)c1,HOOWCUZPEFNHDT-UHFFFAOYSA-N,5.0,0.10954451150103275,,SID11113456,6
CC(=O)OC[C@@H]1O[C@H](C/C=N\O[C@@H](C)c2cn([C@H](CO)Cc3ccccc3)nn2)C=C[C@@H]1OC(C)=O,NRBQGFPSNHDEQR-OWTDRNCLSA-N,5.3500000000000005,0.054772255750517036,,SID26750914,6
COc1cc(C[C@H](C)N)c(OC)cc1I,BGMZUEKZENQUJY-ZETCQYMHSA-N,5.1499999999999995,0.7120393247567158,,SID11111025,6
COc1cccc([C@H]2Oc3ccc(OC)cc3/C(=N\O[C@@H](C)c3cn([C@H](CO)Cc4ccccc4)nn3)[C@@H]2O)c1,WUZCQWGJCAFCNP-OWFNJGNJSA-N,5.45,0.05477225575051642,,SID26750988,6
CC1=NN=C(c2ccc(N)cc2)c2cc3c(cc2C1)OCO3,LFBZZHVSGAHQPP-UHFFFAOYSA-N,5.1000000000000005,0.21908902300206623,GYKI-52466,SID11111215,6
COc1ccc2c(c1OC)C(=O)O[C@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3,JZUTXVTYJDCMDU-RTBURBONSA-N,5.5,0.21908902300206665,"1R,9S-HYDRASTINE",SID11112572,6
COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,GRTOGORTSDXSFK-XJTZBENFSA-N,5.0,0.0,RAUWOLFIA SERPENTINA,SID11112555,6
CCCCC1CN2C(CCC(C)C2c2ccc(Br)cc2)C(=O)O1,DGYXEKWZWITCNQ-UHFFFAOYSA-N,5.400000000000001,0.0,,SID26752446,6
COc1ccc(O[C@H]2C=C[C@@H](c3ccccc3)O[C@H]2COC(=O)CC/C(C)=N\O[C@@H](C)c2cn([C@H](CO)Cc3ccccc3)nn2)cc1,MEYKUISUMFVVRJ-AQZCUSQRSA-N,5.3500000000000005,0.05477225575051702,,SID26750884,6
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,5.195,0.3821910517005857,HALOPERIDOL,Haloperidol,6
C[C@H](N=C(N=c1cc[nH]cc1)NC#N)C(C)(C)C,IVVNZDGDKPTYHK-JTQLQIEISA-N,5.8500000000000005,0.05477225575051688,(S)-PINACIDIL,SID11112869,6
CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,BGDKAVGWHJFAGW-UHFFFAOYSA-N,5.3999999999999995,0.10954451150103325,,SID11112489,6
CCN(CC)C(=O)N[C@@H]1C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,JOAHPSVPXZTVEP-HFTRVMKXSA-N,5.3,0.10954451150103343,,SID11112750,6
CC(C)[C@@]1(NC(=O)C2C[C@H]3c4cccc5[nH]cc(c45)C[C@@H]3N(C)C2)O[C@@]2(O)[C@H]3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,DEQITUUQPICUMR-LBQNKEKUSA-N,5.966666666666668,0.34448028487370175,,SID11114299,6
C[C@H](O/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(-c3ccccc3)c(=O)n12)c1cn([C@H](CO)Cc2ccccc2)nn1,CIWOCJROCUUWEP-MWBLWOFDSA-N,5.400000000000001,0.0,,SID26751021,6
Cc1ccc(S(=O)(=O)N[C@H]2COC(=O)C(C)COC(=O)C(C)NC(=O)C/C=C\[C@H]2C)cc1,NGMCECBPHRTPDZ-XSMHIDSJSA-N,5.400000000000001,0.0,,SID26750784,6
